name,prep,cook,img,difficulty
Halloumi &amp; Sweet Potato Salad,10m,10m,https://foodhub.scene7.com/is/image/woolworthsltdprod/xx56vhbsq1s5u1gdadj1:Square-1300x1300,2
Mongolian Beef Stir Fry,10m,25m,https://foodhub.scene7.com/is/image/woolworthsltdprod/uvggtvwnmuvf6oivre81:Square-1300x1300,2
Fruit Loaf Toastie with Banana &amp; Choc Hazelnut Spread,5m,5m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2106-fruit-loaf-toastie:Square-1300x1300,2
Savoury Waffles with Baked Beans Chorizo &amp; Egg,40m,20m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-savoury-wafffles-with-baked-beans:Square-1300x1300,2
Gourmet Baked Beans Toastie,10m,5m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-gourmet-baked-beans-toastie:Square-1300x1300,2
Chilli Con Carne Tortilla Cups,10m,35m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-chilli-con-carne-tortilla-cups:Square-1300x1300,2
Air-fryer nuts,5m,35m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-air-fryer-nuts:Square-1300x1300,2
"Potato, ham &amp; rosemary zucchini slice",10m,45m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-potato-ham-and-rosemary-zucchini-slice:Square-1300x1300,2
"BBQ pork, rice &amp; greens bowls",5m,10m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2106-bbq-pork-rice-and-greens-bowls:Square-1300x1300,2
Swedish Meatballs with Broccolini,5m,15m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2106-swedish-meatballs-with-broccolini:Square-1300x1300,2
Healthier Apple Filo Scrolls,10m,20m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2104-healthier-apple-filo-scrolls:Square-1300x1300,2
Slow-Cooker Spinach &amp; Ricotta Cannelloni,25m,4hr+,https://foodhub.scene7.com/is/image/woolworthsltdprod/2104-slow-cooker-spinach-and-ricotta-cannelloni:Square-1300x1300,2
Slow-Cooker Pork Sliders,50m,8hr,https://foodhub.scene7.com/is/image/woolworthsltdprod/2104-slow-cooker-pork-sliders:Square-1300x1300,2
Air-Fryer Vegan Buffalo Cauliflower,15m,20m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2104-air-fryer-vegan-buffalo-cauliflower:Square-1300x1300,2
Cheesy Chorizo Croquettes,30m,25m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2106-cheesy-chorizo-croquettes:Square-1300x1300,2
Speedy Cheesy Chicken &amp; Zucchini Alfredo,10m,15m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2106-speedy-cheesy-chicken-and-zucchini-alfredo:Square-1300x1300,2
Healthier Air-Fryer Fish &amp; Chips,15m,25m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2106-healthier-air-fryer-fish-and-chips:Square-1300x1300,2
"Tuna Pasta with Tomatoes, Olives &amp; Capers",5m,10m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2106-tuna-pasta-with-tomatoes-olives-and-capers:Square-1300x1300,2
Caramilk and Coconut Balls,20m,-,https://foodhub.scene7.com/is/image/woolworthsltdprod/taysukmmcfaf8geooi2l:Square-1300x1300,2
Easy Churros with Cinnamon,20m,15m,https://foodhub.scene7.com/is/image/woolworthsltdprod/sfkxo1hdg0pufbwzrwxn:Square-1300x1300,2
Coconut Delight Slice,15m,20m,https://foodhub.scene7.com/is/image/woolworthsltdprod/ohmvrlhsnbswuabo7efs:Square-1300x1300,2
Apple Crumble Slice,15m,40m,https://foodhub.scene7.com/is/image/woolworthsltdprod/wcpcw0icywfooumy3eso:Square-1300x1300,2
Mini Vegetarian Frittatas,10m,25m,https://foodhub.scene7.com/is/image/woolworthsltdprod/dvwdhfiudgs0lp3jyx6z:Square-1300x1300,2
Triple Choc Chip Cookies,25m,17m,https://foodhub.scene7.com/is/image/woolworthsltdprod/mzaotyiogdxg07xka4uh:Square-1300x1300,2
Halloumi With Honey Lemon And Thyme Sauce,5m,10m,https://foodhub.scene7.com/is/image/woolworthsltdprod/fn6kjurdrb1fzhvujqpx:Square-1300x1300,2
Moroccan Style Beef Stew,1hr+,8hr,https://foodhub.scene7.com/is/image/woolworthsltdprod/xcq5ob0aopd8npsd1zwe:Square-1300x1300,2
Hong Kong Egg Custard Tarts,45m,25m,https://foodhub.scene7.com/is/image/woolworthsltdprod/pvdpspkku7dbzvxlggog:Square-1300x1300,2
Pie Maker Vanilla Slice,10m,8m,https://foodhub.scene7.com/is/image/woolworthsltdprod/kcfellrmexemwxrvkkve:Square-1300x1300,2
Cauliflower Cheese and Bacon Fritters,20m,40m,https://foodhub.scene7.com/is/image/woolworthsltdprod/janbn4ckv4po5dqbvdje:Square-1300x1300,2
Chocolate Cashew Sultana Clusters,2m,2m,https://foodhub.scene7.com/is/image/woolworthsltdprod/uns7q1iaqvn8lickt6il:Square-1300x1300,2
Chocolate Peppermint Slice,20m,20m,https://foodhub.scene7.com/is/image/woolworthsltdprod/zvytseqtllaamuh2aylb:Square-1300x1300,2
3 Ingredient Bounty Inspired Balls,40m,-,https://foodhub.scene7.com/is/image/woolworthsltdprod/gna4fkeiiop7mc5wstun:Square-1300x1300,2
Apple Rose Pie,15m,25m,https://foodhub.scene7.com/is/image/woolworthsltdprod/hltf0ljocognlfoeap9u:Square-1300x1300,2
Honeycomb Brownies,15m,40m,https://foodhub.scene7.com/is/image/woolworthsltdprod/iicuw7r4ir4rjdqovsmd:Square-1300x1300,2
Japanese Style Fried Chicken,40m,15m,https://foodhub.scene7.com/is/image/woolworthsltdprod/de4ttdojeafppydgeqli:Square-1300x1300,2
Lemon Cheesecake Mousse,2hr+,1m,https://foodhub.scene7.com/is/image/woolworthsltdprod/tevbbzba6aws84ffmcos:Square-1300x1300,2
Cream of chicken lasagne,5m,20m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-cream-of-chicken-lasagne:Square-1300x1300,2
Mini veggie pizza lunch boxes,10m,20m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-mini-veggie-pizza-lunch-boxes:Square-1300x1300,2
Smashed potatoes with veggie tomato sauce,5m,35m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-smashed-potatoes-with-veggie-tomato-sauce:Square-1300x1300,2
Easy Peasy 3 Cheese Chicken Pasta,5m,20m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-easy-peasy-pasta:Square-1300x1300,2
Mild Chicken Curry,15m,2hr,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-mild-chicken-curry:Square-1300x1300,2
Raspberry Marshmallow Croissants,5m,10m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2104-raspberry-marshmallow-croissants:Square-1300x1300,2
Miso Steak with Warm Brown Rice Salad,10m,25m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2104-miso-steak-with-warm-brown-rice-salad:Square-1300x1300,2
Air-fryer Scones,10m,30m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2104-air-fryer-scones:Square-1300x1300,2
Ombre Chia Puddings,10m,5m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2104-ombre-chia-puddings:Square-1300x1300,2
Cookies &amp; Cream Brownies,5m,30m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2104-cookies-and-cream-brownies:Square-1300x1300,2
Pie-maker Butter Chicken Pies,10m,50m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2104-pie-maker-butter-chicken-pies:Square-1300x1300,2
Air-fryer Nuggets Lunch Boxes,20m,20m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2104-air-fryer-nuggets-lunch-boxes:Square-1300x1300,2
Kimchi and Cheese Toasties,5m,5m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2104-kimchi-and-cheese-toasties:Square-1300x1300,2
